功能名,Function name,register address,Decimal,fields,type,accuracy,units,min,max,Properties,说明,Description,Confidential,Mask computation,,Support single register read,Support single register write,Register linking is supported,Register concatenation is supported,备注(Remarks),Remarks
一、General（0x0040-0x007F）,I General（0x0040-0x007F）,,,,,,,,,,,,,,,,,,,,
"
掩码区
本64个连续地址","""
Masked Area
This 64 contiguous address """,0040,,AddressMask_General1,U64,,,,,R,"本地址开始的64个寄存器地址字的掩码区。
本字段每一位对应本字段64个地址的有效性（每一位对应一个寄存器地址，包括本字段地址）。
对应位为0代表无效，为1代表有效。
例：0x0000 0x0000 0x0000 0x001F表示0x0044地址功能有效，后面的掩码区的含义一致，并对地址区间做合并处理，不单列。","Mask area for the 64 register address words starting at this address.
Each bit of this field corresponds to the validity of the 64 addresses in this field (each bit corresponds to a register address, including the address of this field).
A corresponding bit of 0 means invalid, a 1 means valid.
Example: 0x0000 0x0000 0x0000 0x001F means that the 0x0044 address function is valid, followed by the same meaning of the mask area and a merged treatment of the address interval, not listed separately.",End-users,00000000,0000000F,,,"Start address
length","Start address
length",从地址0x0040到地址0x004F的16个地址有效性,16 address validities from address 0x0040 to address 0x004F
,,0041,,,,,,,,,,,End-users,,,,,,,从地址0x0050到地址0x005F的16个地址有效性,16 address validities from address 0x0050 to address 0x005F
,,0042,,,,,,,,,,,End-users,,,,,,,从地址0x0060到地址0x006F的16个地址有效性,16 address validities from address 0x0060 to address 0x006F
,,0043,,,,,,,,,,,End-users,,,,,,,从地址0x0070到地址0x007F的16个地址有效性,16 address validities from address 0x0070 to address 0x007F
本协议版本号,Version number of this agreement,0044,,Modbus_Protocol_Version,BCD16,,,1.07,99.99,R,"本协议版本号。
协议版本号与本协议封皮中的版本号相对应。","Version number of this protocol.
The protocol version number corresponds to the version number in the jacket of this protocol.",End-users,,,,,,,"注：Modbus协议版本号（BCD码）
0-7位表示小版本号，其中0-3位表示低位版本数字，4-7位表示高位版本数字。
8-15位表示大版本号，其中8-11位表示低位版本数字，12-15位表示高位版本数字。
例：值0x1234表示协议版本号为12.34","Note: Modbus protocol version number (BCD code)
Bits 0-7 indicate the minor version number, where bits 0-3 indicate the low version number and bits 4-7 indicate the high version number.
Bits 8-15 indicate a major version number, where bits 8-11 indicate a low version number and bits 12-15 indicate a high version number.
Example: the value 0x1234 indicates a protocol version number of 12.34"
"芯片代号
(不对外开放)","Chip Code
(not available to the public)",0045,,COMM_MCU_Code,ASCII,,,,,R,通讯芯片代号。,Communication chip designator.,End-users,,,,,,,"参考芯片编码规范，不对外开放。
需将ASCII码转换成对应字符
例：地址0x0045读取为0x4730表示“G0”","Reference chip coding specification, not available to the public.
ASCII code needs to be converted to the corresponding character
Example: address 0x0045 read as 0x4730 means G0"""""
,,0046,,CTRL1_MCU_Code,ASCII,,,,,R,1号控制芯片代号。,Control chip code number 1.,End-users,,,,,,,,
,,0047,,CTRL2_MCU_Code,ASCII,,,,,R,2号控制芯片代号。,Control chip code number 2.,End-users,,,,,,,,
,,0048 -- 0051,,MCU_Code_Rsvd1 -- 10,,,,,,,MCU编码预留地址1-10（10个）,MCU code reserved addresses 1-10 (of 10),,,,,,,,,
