Table,Byte,Bit,位字段,编号,备注,Remarks
State1,byte 0,bit 0,GridUVDerating,001,电网低压降载（逆变器机型根据输出最大电流*电网最低相电压得出的降载功率）,Grid low voltage load shedding (load shedding power for inverter models based on maximum output current * lowest grid phase voltage)
,,bit 1,OverTempDerating,002,过温降载,Over-temperature load shedding
,,bit 2,BusOVDerating,003,母线过压降载,Busbar overvoltage load shedding
,,bit 3,QLimitedP,004,无功限有功,reactive power limited active power
,,bit 4,CmdPDerating,005,指令有功降载（安规）,Commanded active load shedding (safety regulations)
,,bit 5,DRMsDerating,006,DRMs降载,DRMs load shedding
,,bit 6,FeedInLimitation,007,防逆流降载,Anti-reflux load shedding
,,bit 7,RemotePCtrl,008,远程有功控制（通信箱）,Remote active control (communication box)
,byte 1,bit 0,OVUVDerating,009,电网过欠压安规降载 (安规的电网过欠压降载),Grid over-undervoltage safety regulation load shedding (grid over-undervoltage load shedding for safety regulation)
,,bit 1,OFDerating,010,过频降载,Over-frequency load shedding
,,bit 2,UFLoading,011,欠频加载,Under-frequency loading
,,bit 3,InnerDerating,012,内部(其他)降载（调制比/升压比降载）,Internal (other) load shedding (modulation ratio/boost ratio load shedding)
,,bit 4,,013,,
,,bit 5,,014,,
,,bit 6,,015,,
,,bit 7,,016,,
State2,byte 0,bit 0,RemotePFCtrl,017,远程PF控制,Remote PF control
,,bit 1,RemoteQCtrl,018,远程无功(无功百分比)控制,Remote reactive power (reactive power percentage) control
,,bit 2,IndependenceQCtrl,019,独立无功控制,Independent reactive power control
,,bit 3,,020,,
,,bit 4,,021,,
,,bit 5,,022,,
,,bit 6,,023,,
,,bit 7,,024,,
,0,bit 0,ForceOff,025,强制关机（二代机独有，三代光伏预留的功能接口）,"Forced shutdown (unique to 2nd generation machines, functional interface reserved for 3rd generation PV)"
,,bit 1,RemoteOff,026,远程关机 (上位机）,Remote shutdown (upconverter)
,,bit 2,DRMs0Off,027,DRMs0关机,DRMs0 shutdown
,,bit 3,,028,,
,,bit 4,,029,,
,,bit 5,,030,,
,,bit 6,,031,,
,,bit 7,,032,,
State3,byte 0,bit 0,,033,,
,,bit 1,,034,,
,,bit 2,,035,,
,,bit 3,,036,,
,,bit 4,,037,,
,,bit 5,,038,,
,,bit 6,,039,,
,,bit 7,,040,,
,byte 1,bit 0,,041,,
,,bit 1,,042,,
,,bit 2,,043,,
,,bit 3,,044,,
,,bit 4,,045,,
,,bit 5,,046,,
,,bit 6,,047,,
,,bit 7,,048,,
State4,byte 0,bit 0,,049,,
,,bit 1,,050,,
,,bit 2,,051,,
,,bit 3,,052,,
,,bit 4,,053,,
,,bit 5,,054,,
,,bit 6,,055,,
,,bit 7,,056,,
,byte 1,bit 0,,057,,
,,bit 1,,058,,
,,bit 2,,059,,
,,bit 3,,060,,
,,bit 4,,061,,
,,bit 5,,062,,
,,bit 6,,063,,
,,bit 7,,064,,
State5,byte 0,bit 0,,065,,
,,bit 1,,066,,
,,bit 2,,067,,
,,bit 3,,068,,
,,bit 4,,069,,
,,bit 5,,070,,
,,bit 6,,071,,
,,bit 7,,072,,
,byte 1,bit 0,,073,,
,,bit 1,,074,,
,,bit 2,,075,,
,,bit 3,,076,,
,,bit 4,,077,,
,,bit 5,,078,,
,,bit 6,,079,,
,,bit 7,,080,,
State6,byte 0,bit 0,RemoteDeratingEnable,081,远程降载使能,
,,bit 1,LogicIfDeratingEnable,082,逻辑接口降载使能,
,,bit 2,FeedInLimitationEnable,083,防逆流降载使能,
,,bit 3,,084,,
,,bit 4,,085,,
,,bit 5,,086,,
,,bit 6,,087,,
,,bit 7,,088,,
,byte 1,bit 0,,089,,
,,bit 1,,090,,
,,bit 2,,091,,
,,bit 3,,092,,
,,bit 4,,093,,
,,bit 5,,094,,
,,bit 6,,095,,
,,bit 7,,096,,
State7,byte 0,bit 0,,097,,
,,bit 1,,098,,
,,bit 2,,099,,
,,bit 3,,100,,
,,bit 4,,101,,
,,bit 5,,102,,
,,bit 6,,103,,
,,bit 7,,104,,
,byte 1,bit 0,,105,,
,,bit 1,,106,,
,,bit 2,,107,,
,,bit 3,,108,,
,,bit 4,,109,,
,,bit 5,,110,,
,,bit 6,,111,,
,,bit 7,,112,,
State8,byte 0,bit 0,,113,,
,,bit 1,,114,,
,,bit 2,,115,,
,,bit 3,,116,,
,,bit 4,,117,,
,,bit 5,,118,,
,,bit 6,,119,,
,,bit 7,,120,,
,byte 1,bit 0,,121,,
,,bit 1,,122,,
,,bit 2,,123,,
,,bit 3,,124,,
,,bit 4,,125,,
,,bit 5,,126,,
,,bit 6,,127,,
,,bit 7,,128,,
State9,byte 0,bit 0,,129,,
,,bit 1,,130,,
,,bit 2,,131,,
,,bit 3,,132,,
,,bit 4,,133,,
,,bit 5,,134,,
,,bit 6,,135,,
,,bit 7,,136,,
,byte 1,bit 0,,137,,
,,bit 1,,138,,
,,bit 2,,139,,
,,bit 3,,140,,
,,bit 4,,141,,
,,bit 5,,142,,
,,bit 6,,143,,
,,bit 7,,144,,
